# Generated 2020-05-22 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-05-21, "bashlite elf gafgyt", "http://221.210.211.17:36702/Mozi.m", 635d926cace851bef7df910d8cb5f647, 543282811f7ec6ab8743f5ab877c040b16ed9a10, bba18438991935a5fb91c8f315d08792c2326b2ce19f2be117f7dab984c47bdf, 3072:6X8JNZXopYyKyI/LvKtL2faYk+djHdiDI0eXaBLTRP4otGP/x:6Xs4pYy6/LKR2SrsTkDI0eXaBBxwP5,"366301.bin.TMP", Linux executable (ELF), 123528 bytes, -, -
2020-05-21, "DDoS Bot elf mirai", "http://37.49.230.176/bins/a.sh", 514558ff01274b61f75a2a58a84c1a4b, 497343beb9b4f9876a462c65a4828695bad43703, 06ff2ef32601c0c69a7b8be5940b812bab0e3e20e21c864a00e2c5d0ede82c05, 3:TKH4valxj6ccodtKpYqbULJ+pUOyTMsRHvbEryRrCARFNxnj5sUgxAIx6BedXBjG:hOcOdtUwJ+pUzoOrLqUgx16B6XBsy6Ln,"366259.bin.TMP", Unix shell script (.sh), 246 bytes, -, -
2020-05-21, "DDoS Bot elf mirai", "http://37.49.230.176/bins/arm", 107b39e8c389cb85121b5e4307455f0e, 57e575ef5ee95c3c2157471a5b545564ef346048, 949e646f92068977d77d54b4f444719576197c420a128848ff42679ec79ee6d7, 1536:iWjm515cIZ/h4mNebj9pc5sMQq4hXbrTgId5otenMtIMq+MN/D:iW8P7VXDaB1dGzi3ZNr,"366183.bin.TMP", Linux executable (ELF), 85084 bytes, -, -
2020-05-21, "DDoS Bot elf mirai", "http://37.49.230.176/bins/arm5", 5738f14b7b5fe5a10179c396af6a46c9, bfdfb3b50467bac2e12809d065d5c2cc0bca0fe2, 4fd1705d280eb6be7be4300d460b19339c6003c37deb27c6fb9a9a57ebf1528c, 1536:ImPV3uf8QKqOmAB+NpxpoTu3AnRmTq5nc5aX5nMt0Xu4t3D:RPV3uf89X7wZycWu6e4t,"366189.bin.TMP", Linux executable (ELF), 75884 bytes, -, -
2020-05-21, "DDoS Bot elf mirai", "http://37.49.230.176/bins/arm6", 6a70e648dbe307b1cc9edd9f0ca52f28, d8974bcfd1db1b58233615be44d815a0062c446d, 05c248666b210a65fb376f596556020cba5f4a02e548a8df6dd8a5a9f36bbf05, 1536:cMnEzRHWh3C2bWzSKy5Gwb5fLi2ptjf6H5PRv5V/F+APyLn+MXiqlEaNveNO7:WHiEuV51ptGH53UlEaNveN8,"366190.bin.TMP", Linux executable (ELF), 95648 bytes, -, -
2020-05-21, "DDoS Bot elf mirai", "http://37.49.230.176/bins/mips", 9e14651cd118a8d50f4f8261887d919a, 23c03b94cd8da13ebd9483147a2f6aa362b3bd67, bc80d05851f82a597219e05663659929dab45eb5f040735ec45567097128edfe, 1536:E8QGW9v9X+ykHbt42yK1vzYfdh4Cz0L/2pVK:zW9vB+NZvbYfdKCz0b2pI,"366193.bin.TMP", Linux executable (ELF), 64560 bytes, -, -
2020-05-21, "DDoS Bot elf mirai", "http://37.49.230.176/bins/mpsl", 977e9d64eeba9b82e5021e6d0166a4cd, e364538172e1d27e1683e7ca9fd84ddb00ab75c1, 9cbf6409a1a4faf8f499530e83600e4cd33b00a6a37755831108a8c8d2f4204f, 1536:tdvd+kXku4ukvPzbbHs3xKehoG3MtZ4Z5sxeJvtn/j:tdF+qkf/fbHs3UZ43t/j,"366194.bin.TMP", Linux executable (ELF), 111556 bytes, -, -
2020-05-21, "DDoS Bot elf mirai", "http://37.49.230.176/bins/x86", a62082159913ce01d5d2a301931343e3, d114207a6b4ec5ff2d4bd2da33087102c259e25a, 4371c7d81dcf5e1ecc6b88b948e767d26f7f2f256ddd2fd74ec18ebaa5d4fa2f, 1536:r9tgvx+BeR5tEJbUKfOEJzLmERu0nMWF++WabNyei1mBRUxagyPm:r9Ax+BgjIUKfOEJzS0S3EkeignkPP,"366195.bin.TMP", Linux executable (ELF), 78800 bytes, -, -
2020-05-21, "DDoS Bot elf mirai", "http://37.49.230.176/update.sh", ae72bb431407b4f5f19d155689332a9f, df14454f12c749466f119fc8b277dbda836eccbd, 911d00f84ab8c3234f8a2b71905c08a49841335531de8dcf05a3f1d6f8d63395, 12:q0FQ+p90FdOdp90FLNiNN8p90Fz0p90Fa/EPp90FyIANp90FQONiSON4hp90FnP0:v+kq5uNp6JXInPlnQ+74JD,"366260.bin.TMP", Unix shell script (.sh), 1999 bytes, -, -
2020-05-21, "docx opendir", "http://37.221.113.76/inform.docx", 933bdbeef2fcd2ec41b2f0b6a05f9115, 2ca3a77b4d04fa6f069fb4966354b87477b1d04d, 76fb0352c75add536424a3d32b04528dfaf3f0c1fbc0958d18764660b0de009a, 192:ScIMmtPPCaRq65bv/0ZrRiq6ExbdtvYWQIK3EYPjaM2q45O:SPXXJquqc6ZtvG3Euja935O,"365981.bin.TMP", PKZipped file (Office .JAR .WAR), 11743 bytes, -, -
