# Generated 2021-01-22 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/vvahia", 50a168ac974bcad8dd1a73e825e8ecd8, b6db7b7cf6d5e6919207df989320ac9a55df5851, 62850feb41d26173154eab827f90da5dbde2a684df3c30252e7d99e973714ad7, 3072:ezBWQSQIjuLllxiLwy7QwmTrZH/JHJh+cxVcqn2fem3GEDHXpzPrQW/iXIs0/8rQ:glsuf1rJxqB4mnlDQuzafIAn+5,"973539.bin.TMP", Linux executable (ELF), 121615 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/wkomqp", 4bdc0ff726a51be612424b775eabb6c3, 5736c5f40eab6fafe495e51e60b98ef0a9cdf3de, 699a9166b6df7a3ec060312eee06ee03f1b4dcc465ccae5a37c16dd63152d031, 3072:FJs9quzlvRWp1ihhbUNUJrn+P3gmUsRUAowLmNhVcPCb+RuaR5:QhvJ7IrlzmNhVcPCiRuaR5,"973537.bin.TMP", Linux executable (ELF), 111596 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/yeansn", 4e56e8b61488c5ae072eb7d18d5baa3a, 15b3c7808e1000ca54efde291cf9bf3c6e2351c8, 798564d9d2b7cb5e1263d7b9154fb48d42d754c1611898fbefc44c0584c3d46a, 3072:NY2zNzQyeqOijLDKBaSmlRdqzFOVKKlH5:G2zyyftLxSmlRdqzFOQKlH5,"973543.bin.TMP", Linux executable (ELF), 149631 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/yuwenb", 06b5caf5e72fa1d02a381959dd545510, 316dc35c5f98fb5ea4d218aaa3f9f077a7ff8188, ff9c53844e6e9703b123de7eb60326ed52255be8325461294fc1b58ee12db384, 3072:kL10DxM9TqDgo3rP9sJgloqybyTqFyU2KtrawhXDLtNc3u1e1cRgLQ35ZRuxdYoj:mJpEmhUar8epyBwgDmoXXLdjM/9zA1mu,"973540.bin.TMP", Linux executable (ELF), 184076 bytes, -, -
2021-01-22, "dll geofenced Gozi ISFB ursnif USA", "http://hindi.factsriver.com/c3.dll", 81f401defa8faa2e4745590bc4f6c008, bddb75a5aa6ed1272307ee096b59e2e61076a6f9, 74cc533238ae33245519b52784db0e6adbd3380b350717fdc69d4e36714173d5, 6144:pwM/k5f0utJIrBpYffzQoKSpMDpc0MxBdH6ZWcNu0ewv6ZiEl6MAm:SM/K0carBOPMDu0N1EwS4Es,"973660.bin.TMP", Windows executable (MZ), 400896 bytes, rh:9585e0dd66da1dd88e15acd0d24cfda1, mh:bc2742e23daa4c5b6223eb88c7d012b1
2021-01-22, "dll geofenced Gozi ISFB ursnif USA", "http://minishop.in/shop/22601600012/c3.dll", 81f401defa8faa2e4745590bc4f6c008, bddb75a5aa6ed1272307ee096b59e2e61076a6f9, 74cc533238ae33245519b52784db0e6adbd3380b350717fdc69d4e36714173d5, 6144:pwM/k5f0utJIrBpYffzQoKSpMDpc0MxBdH6ZWcNu0ewv6ZiEl6MAm:SM/K0carBOPMDu0N1EwS4Es,"973655.bin.TMP", Windows executable (MZ), 400896 bytes, rh:9585e0dd66da1dd88e15acd0d24cfda1, mh:bc2742e23daa4c5b6223eb88c7d012b1
2021-01-22, "dll ZLoader", "https://fortnitehecks.com/kev/xeda.dll", 7cff1113d30b8e4cd51ba13f40b9d2d5, 6a0b90e9b0861cb42fecd217651d25c2e9eabf7d, 5c0f9c9babc640a2578b1d3e8cacb60df32a0437ef3f9383d00ed88a7cef3a62, 6144:1/oqv+z4/KDhYxNzQkR6sfPliEC3iNEt0Filb0ilBQY+Wj:1/dv+z45QkRZfPlTC3iNbFcoiTbj,"974230.bin.TMP", Windows executable (MZ), 279040 bytes, rh:81fb3cbc5267746e98a9e905240fb799, mh:63cf2d75f7a0aa0bb5d5395c3004dd62
2021-01-22, "doc emotet epoch2 heodo", "http://antisocials.in/wp-includes/JWfaFK6JrEreoc23/", 4684684d0c29666bbfb8be023d9a51ed, eaf406a8a4d41cb5f3f1d87fcd0c8fa7e60f5394, 377ccf81bc50553f09c559652bad5ec67c73c649cb60ba53cfd01f39a52e5ad2, 3072:jwT4OAEDCkss1NkYtWr7Agf5k9jySTdcrrXyQBsc0vWJVi4IrwVWYbdYPeFmfG5R:jwT4OAEDCkss1NkYtWr7Agf5k9jyTPIY,"974480.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 172032 bytes, -, -
2021-01-22, "doc emotet epoch2 heodo", "http://clearalignerapp.com/search/DpJAq1q2pDnD6F8GFBLBIMDriFz2DAsjPhLarx62bf7bXHYmX0u4JSBDFAiMuNrzZ7IL/", a4094861e06f29ac4232fc3c76efe7d5, 213b6a10fe9926aa3368032e5ffa57e238da4f1b, 7d208c37e1692e448cb66adc388c1d5a77f06bc1ffef7dcf756ee681530158ab, 3072:YwT4OUNzBgQEPcnc2kTdcrrXyQBsc0vWJVi4IrwVfYbdYPeFmfG5/+vGsPt4kohv:YwT4OUNzBgQEPcnc2tPIIFE,"974380.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 177152 bytes, -, -
2021-01-22, "doc emotet epoch2 heodo", "http://polyproductions.com.au/in-what-jgcak/C5njRZMm4sqRVAes3grDNN2ccJ7NzT/", bc9d0d8958556bb6015941e3f02c8445, 2e624220372efb39426bb4e950c3f89c9cd5b319, 5b8a09ecc983f2bfa3c172b58755d141faaaa80c8016de77c9cbcdd83805d5ab, 3072:YwT4OUNzBgQEPcnc2kTdcrrXyQBsc0vWJVi4IrwVOYbdYPeFmfG5/+vGsPt4kohD:YwT4OUNzBgQEPcnc2tPIIIo,"974378.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 178176 bytes, -, -
2021-01-22, "doc emotet epoch2 heodo", "http://testing.matrixlimos.com/gdtest/BCDu7eV7WzElLCqYbbKJHpmk9J0UN7CvMwQxaGpVBW4pQkHKgsZd7DL1XUAu5/", 09a4d7bbb0db4003f6d6eee258f0ae48, b611b372dc40c114d2fb52cf967ffb9062728372, df5ff0dd34808825942b6b896c5129f63bc36f8fbbba7f3ce145cced467c662a, 3072:YwT4OUNzBgQEPcnc2kTdcrrXyQBsc0vWJVi4IrwVEYbdYPeFmfG5/+vGsPt4kohL:YwT4OUNzBgQEPcnc2tPII2k,"974306.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 177664 bytes, -, -
