# Generated 2021-01-31 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.x86", 6443c5769294683a876283cee61fb80c, 8ff6b1b3997d48883cfc2f44bb5c2c4193521fc8, 649d300e5e61557dfb93dd14b0507af8e21fb02860383f7f82494135a5478f52, 1536:IIG9170vwHbQXZ5+qXDEuXi9aBSW7V/DjObeFt6PuQ4ZZ:I917iwHbQXZ5+qXA59eSWZ/XObeb6GZZ,"984646.bin.TMP", Linux executable (ELF), 66136 bytes, -, -
2021-01-31, "elf", "http://114.35.192.2:56903/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"984872.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.arm", 1e49093fd0d85a6dc78bf201bd011038, cbd3c24b53bf1443ba9778c8268ade08cd4ab671, 8d1a74ce35d62d4f853281e695b354dd3b83f9be7d0a882d56aa858baae71151, 1536:fpXcKpBUlet3DBboJubLCNgpRTZa7kcahWMP0hB4g5W9/e35z8FQ:fpXcKLU1cRY7kvhT8Qgt3aF,"985512.bin.TMP", Linux executable (ELF), 74744 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.arm5", aa0a87905905609889f5c4dd41bb1b8a, 73320a3585adc05e8b66bb5c79e70f1db7cce2cc, d62d6be1c20da5d16c5694a09e16927c0ccb00b7698ff502804af7d6323242c9, 1536:0hKz1DO6imcpDJhvGJgz0TPFh3t3rJd+4ahWrxsb4y9o5btej5l0Y:0hKz1DD+khpj+DhMm9oSjY,"985520.bin.TMP", Linux executable (ELF), 74784 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.arm6", 4f9778e2795a57b3c7e1bfe1f0a8345b, 9554e50bd7d7f393b3f8b66da329d7cd542a7ea7, 817ba3a44fcb142ce83fc9324f2319981c00733a53f2a6742c74ddbad735d2dc, 1536:g2nPtHYDLT8+M5UglSN6OeHTvvUhcR70pFi6H1YvKHw5e5V995LBOckIIijkuvbh:70T8359l7OMLvUhc90fpHGiQ0nnkuvbK,"985509.bin.TMP", Linux executable (ELF), 83560 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.arm7", 70444b7b40ade55ade1fe67e97a6092c, 22f81fbe6ba4b5decfa7d579ada4a65ed847b759, b942f11bf1e6fe2ff490172531c5e72d4f07421354b7bead6f2eb2f20b43957e, 3072:8RCjNqiAd8UgyzGhj/ol1Q3Gy225ev5FibkvtPJPSff0M/9AT33l:yCjNqiAd8UgyqhjUG5ev5FibGtJSfcMW,"985521.bin.TMP", Linux executable (ELF), 148949 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.m68k", aa4eb6106a38659df5d5287841b53954, a9f92363855f923e6059981a1ee2e4ec25ad6d77, fc3c21a366187f8424fe71ae83b37327830f363c3e719e60a787e4ea1e51b21f, 1536:JyoDylkqJ1mNqdIa8Ok/TxK7/1ZOnyW5TohZ9:JyoDXqfmNqW7/NK7/uy4od,"985528.bin.TMP", Linux executable (ELF), 72340 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.mips", 9606e0a2d577be0432b8f40ebec8d28f, 48f77ce00d5b1a8adcd3aca49501341b9eab23cb, c0c21531fe6184f2ca03621cd03d3f07335e51c344f539a02e47c8ff3b276199, 1536:AKzqmzfphPukFhyxCXgHo3eFz0H/DZ5mHZfzEY2QPUw:AKqYhuezWo3eFwHF5mHZfzEzIX,"985514.bin.TMP", Linux executable (ELF), 93472 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.mpsl", 4022d0aedadbcb5e682b2839bc522400, b10c598246390ed0df602662916a7b36478d80ab, 9d1cc908da6ed9ae0813436f70a6a495a206de4c25e7a1f2436dd5633f384aaf, 1536:nSITUINkErcWG6bZnH7zcSAkmI91rFC0Za72PzM:nSITRNsWftHMiXC0,"985511.bin.TMP", Linux executable (ELF), 97568 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.ppc", 59d0a596dfa8eefb5ab0d8e516b7e478, 7d91c0589ed2cad41fc49e0cad55d3dac8f72e7a, a176697bdb635387a33a63942b1275e944f6b220e5847c7ef0a8f1e9b0a262ab, 768:BcM3+VHuQYRPbMlxkSC1yHyx4cDzPH//1ZsVq8uiFzajl6HHleKnsbmqZr4sG5MI:Ow+fYYC1yHyau3/GWkyZEsfkIGwDYT0y,"985519.bin.TMP", Linux executable (ELF), 70744 bytes, -, -
