# Generated 2021-01-01 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-01, "AgentTesla scr", "http://hisensetech.gq/angelx.scr", 980bd29a88ceb4a3e0f07d789768bcbf, a5353ee5fdeeabe1c1dd04ef661e9b9a0bb4494d, 636e96438bf8b2c34f6d80f0030c5b3b93029d13bdbb892a75e3d26942c80b46, 1536:Cb3a8pC69/LaKV5QSLc2aScPatDmkWlk11aBcjuOC1aHv4tJ/DuJcuQcd2c+hsf3:,"946741.bin.TMP", Windows executable (MZ), 1743360 bytes, nh:52e660848f98afa80dfb4920f8502964, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/x-8.6-.Fourloko", 07f1c26d5996b14904f1fd0c4a738952, af15d93920f6ad290240b63b0d06010b96138096, 1ca05e0bd4a9ebb85c327d86c6104070fd2460a52be01f09eec5a7489568f761, 1536:eB7cH1LhKlBqIKVhuzdPQq0aJP9sWtjG7ew3naLWODPPmoIYuOVje+ZNne:eRMhKlcluzdPv0o+QK7eknaL1DHmrYur,"946961.bin.TMP", Linux executable (ELF), 85796 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://18.205.231.45/nvlddmkm-windows-1lhuu/nRkw4RGtmAx6MnJuo6kXeJ7t768y/", 40f79fcaa6e497435e1ac54f87fe90ab, 41acbe1239d7c21c6919033da6fd935db6ee1f58, 43af38ecd27585f00463abfee0ca7f492fb36fa862c8d215447d59be27652589, 3072:qso1mY509ufstRUUKSns8T00JSHUgteMJ8qMD7gE:qsoFu9ufsfgIf0pLE,"946697.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 158429 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://97.64.34.143/wp-admin/XNSUPYBYgCq66m9rbisZXcWJfitIYB/", 40f79fcaa6e497435e1ac54f87fe90ab, 41acbe1239d7c21c6919033da6fd935db6ee1f58, 43af38ecd27585f00463abfee0ca7f492fb36fa862c8d215447d59be27652589, 3072:qso1mY509ufstRUUKSns8T00JSHUgteMJ8qMD7gE:qsoFu9ufsfgIf0pLE,"946644.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 158429 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://christopherenovation.fr/unagility/irrlR5vbltSovMvrifV/", a92e2090f008413439f1936f59b92b6b, 97848738fa2fbea86ce1d617ffc94a6d8a4d632e, 102752bacabf212b2d93d7dab6e84615f2e94a7c17f88f88c23cd2e87643da1c, 3072:2ISPO2TNqU+PRGfFz9ufstRUUKSns8T00JSHUgteMJ8qMD7g1UC:Ct+P6z9ufsfgIf0pL1p,"946586.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 159695 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://daoisthealing.com/cgi-bin/vY2h118Rl0lXt9Qjd9f7e0c2xLa6SMIaI6ZucB4AsCLnX8/", 40f79fcaa6e497435e1ac54f87fe90ab, 41acbe1239d7c21c6919033da6fd935db6ee1f58, 43af38ecd27585f00463abfee0ca7f492fb36fa862c8d215447d59be27652589, 3072:qso1mY509ufstRUUKSns8T00JSHUgteMJ8qMD7gE:qsoFu9ufsfgIf0pLE,"946589.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 158429 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://devcloudperu.com/content/nekcuhpcninuqoar9lb5p25ohgg6fuirpghkm4rrtkjjq/", 40f79fcaa6e497435e1ac54f87fe90ab, 41acbe1239d7c21c6919033da6fd935db6ee1f58, 43af38ecd27585f00463abfee0ca7f492fb36fa862c8d215447d59be27652589, 3072:qso1mY509ufstRUUKSns8T00JSHUgteMJ8qMD7gE:qsoFu9ufsfgIf0pLE,"946588.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 158429 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://geosrt.com/aqqhwdap/dhdzdw6gpkea9/", 40f79fcaa6e497435e1ac54f87fe90ab, 41acbe1239d7c21c6919033da6fd935db6ee1f58, 43af38ecd27585f00463abfee0ca7f492fb36fa862c8d215447d59be27652589, 3072:qso1mY509ufstRUUKSns8T00JSHUgteMJ8qMD7gE:qsoFu9ufsfgIf0pLE,"946587.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 158429 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://harperwoods-001-site3.btempurl.com/content/rgq2kd4swsj/", 40f79fcaa6e497435e1ac54f87fe90ab, 41acbe1239d7c21c6919033da6fd935db6ee1f58, 43af38ecd27585f00463abfee0ca7f492fb36fa862c8d215447d59be27652589, 3072:qso1mY509ufstRUUKSns8T00JSHUgteMJ8qMD7gE:qsoFu9ufsfgIf0pLE,"946590.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 158429 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://hoagietesting10.com/wp-includes/l2suqLUgRM7jFV4AkYLMsk/", 40f79fcaa6e497435e1ac54f87fe90ab, 41acbe1239d7c21c6919033da6fd935db6ee1f58, 43af38ecd27585f00463abfee0ca7f492fb36fa862c8d215447d59be27652589, 3072:qso1mY509ufstRUUKSns8T00JSHUgteMJ8qMD7gE:qsoFu9ufsfgIf0pLE,"946582.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 158429 bytes, -, -
2021-01-01, "doc emotet epoch2 heodo", "http://lafiammasc.com.au/wp-includes/6xPYbHwp4DFpIKfOuUOKZrzBpXdnP0LOYr0kSU1SGJlRNYmm/", 40f79fcaa6e497435e1ac54f87fe90ab, 41acbe1239d7c21c6919033da6fd935db6ee1f58, 43af38ecd27585f00463abfee0ca7f492fb36fa862c8d215447d59be27652589, 3072:qso1mY509ufstRUUKSns8T00JSHUgteMJ8qMD7gE:qsoFu9ufsfgIf0pLE,"946592.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 158429 bytes, -, -
