# Generated 2020-12-09 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-09, "_901330.dec.bin", -, c92c92cfb69b5cd127c52ca9c0cc27c4, b8ba6dd525ec59e2bc45cbfd82dbe84195800a62, 1212302483e6cfb755bba7c85e9ec10e30cef768b3bff8c2cb2293939747650c, 1536:FJxVUv1MG9beDATpQGwZK0+31ZlU46EF4s8bYw7nEBKGC3dDsD0kLbK8S1PyZtAE:y,"_901330.dec.bin", Best guess: Decimal encoded executable, 323400 bytes, -, -
2020-12-09, "_901330.exe.bin", -, 503e360a1fcceb595d996963df1769b6, 85ff99ae1f77e238281a45554323db9d4e30c67c, 1d166c59b4ecb258aa20f700daca359c9c9c0ae083d668587e0395f3f3b1fe38, 1536:dcZwtqDkfYEz10u1AVZ2T5OLcUFDrKTkUUi3uAso:tvj5B162O7FDrKTkUr3Vso,"_901330.exe.bin", Windows executable (MZ), 97716 bytes, nh:c4011490335673e82f2ca8f9520abc4b, -
2020-12-09, "_901575.exe.bin", -, d996bf76f92d4a820e6f4b2bc42facb0, a4ca16cf452ad75edc6cb6d694d74a07234b89f7, bf08fcfcd5a184f974cb4103fbe6ce932885f4c38f1b27fffe5c1c79bc6115dd, 384:bt1wtJZqwvxWutUSXg7DYIZ1pRGWwb3wEuLPIAN3B0JHy6/pHVkw3ccNwifGIyLV:b7wtJZqwvbwPl3wb3wE9Aw3ccrfLyar,"_901575.exe.bin", Windows executable (MZ), 33280 bytes, nh:bd501f4c4c446b24dfecd441d4a7b84d, -
2020-12-09, "_902262.exe.bin", -, 5bb391fb079964e9e0c99fe475bfcf6b, 67684054cc9b168db6fbeffac3869402437ab429, 589587d4ec69d46235a5018c4b896b6e93c8034f91aa5f1569f69a56448123ce, 3072:H5t7bepcrGvz7/W0Tq4PU9BINp12lhx1ORDxenFTvvsWvtxP5AHl0E0JDg3nf:HepfWgU0p4+xeBjP+HhUD,"_902262.exe.bin", Windows executable (MZ), 222208 bytes, nh:c6542cdf5e8b6353cd26844f05fec3a9, mh:703d059716f9d58de10f53d6041884d6
2020-12-09, "AgentTesla exe opendir", "http://192.3.146.169/mkmt/vbc.exe", b27e14119c9ec903014300caff12f6bf, d2f4d3f7a949137a5999e2d62799574eb8e0b18f, 96c94187008bfd0614bcfd501e6cd394b075df35d5b2158fbe937199fcb8fb2c, 24576:I5E4hSXomwICyFjSyv+p86aQleEC8aIKKC:I5vSXoGjSyg8JNKC,"902854.bin.TMP", Windows executable (MZ), 973312 bytes, nh:200bb7c3cda651419841f9f2b2112caf, mh:a7fe0574bd54a3cdbebd60ee1e81f7cb
2020-12-09, "AgentTesla exe opendir", "http://192.3.146.194/hkktd/vbc.exe", 59791e3f4e0d6b47cb8ed51c9ebf5708, c84b6aa3c3be67f0ea3ad40e962bc8bcb2e00a27, b1db9b45aa4903a5d9086d759765f4cb76a23e601c7bfd8133d440cace108307, 6144:sjes73iEmPncwigyZbQ7AcPl5r0I37BE4ESTqp959kuesfrtwZN7xg21YJ6BsCC1:sjese0cjQu7BEbSeLcueJHYJasvga8H,"902853.bin.TMP", Windows executable (MZ), 480256 bytes, nh:de9e4d65f29b983af91d7551b99b0f05, mh:7380493e9c8beac70469c22c306f16c5
2020-12-09, "AgentTesla exe opendir", "http://75.127.1.225/doc/Razi.exe", 4281ca32097171a4055f4bbff1ab433a, b1faff73da2d18dbb16672ff314411b591f7ccdb, f8b957b53da50425dfd655553ad255dd26e307971d477edd441ae2c2248ff121, 12288:Px4dNAZDbnrM93g9w80PoIkiAfrBEJ+nIJi2TVwg+k34iNcIUx:PGGr6g+jPoIkiqVEYIE1g+J,"901369.bin.TMP", Windows executable (MZ), 1009664 bytes, nh:440d43ded6bc971b0465626f91cd0d00, mh:658ef916e05b0b96ed22b11435616b48
2020-12-09, "AgentTesla exe", "https://cdn.discordapp.com/attachments/775608373949235243/783380974456799282/image.jpg", aebeb7b1a23449b44195814dda4fb002, 6a540e7acf25a5992961b6b8a831e085680c0bd7, e1cc00d3cbcab395fd825729c328898cd832ebde183c616c1bece606f07e80d7, 12288:TYFnichEklZ6BuDkVHRN1azVxGfhL7XqZA4Iw7uiKcnq0fzWrvlZ7gT:sichjZ6UYVHRN+fwhqpptfsvv7i,"900704.bin.TMP", Windows executable (MZ), 743104 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-12-09, "AgentTesla exe", "https://cdn.discordapp.com/attachments/775608373949235243/783418680947245116/mmm.pdf", 518708b4ee7d5a7bcff40500e7d0c922, 498c7fea6d943d9d57b2565462b52e7e557c0eb8, 4ca2c3d8f5fabdbda0cc20c90af7f04b2a09f921e7e81a922ccefa6a3600cea6, 12288:ZYFnichEklZ6BuDkVHRN1azVxGfhL7XqZA4Iw7uiKcnq5fzWrvlZ7gT:GichjZ6UYVHRN+fwhqppwfsvv7i,"900682.bin.TMP", Windows executable (MZ), 743104 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-12-09, "AgentTesla ModiLoader", "https://cdn.discordapp.com/attachments/775608373949235243/781793491722305556/Reycmtl_Signed_.xlsx", 24000066fd0a67fdd2283e9cd993087f, 5882923b52eb372a2c07f72f1591db06a4297370, 3763ee68b1f1f0baeab3101a18f04400ec9136b630f1e9cb92089875746db508, 24576:FiLDfJXRq+fowpGG7By3Z72mwe8gKmX9hIbEIKn:FiLr5By3Z7NagKAj,"900642.bin.TMP", Windows executable (MZ), 1311424 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-12-09, "AveMariaRAT exe rat", "http://compprotect.com/Ok.exe", 10475d7616c30d73d51030fa64115215, 4ec99c9d41909d9a3f9f594d0ce76a0045325961, 8ce782c4349a2389c5ef7871149869eaac92afd439787e9615fd876f2e10521b, 3072:wUnQaSxsWrokqyRg6M2ej1PDpLPYQcLIMKlOk1Z2su2w4N3WG/AMvoeLm5LIbrG+:wLZJRgj26krElOkr2sbRWG4mu5grG,"901329.bin.TMP", Windows executable (MZ), 218112 bytes, nh:b023b0cb7de39b405e2696e147e83906, mh:85afea939050a4dd8749eb5ab40bb913
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/a-r.m-4.Fourloko", d3a738560a0eb6b64ce701fa325c519f, d7b00eafa494c57153c6b96a2ecbdbd331c9b3c4, 7a743991fb3fbb64bfb8514eae767cf896a60b179457ff5209dbfb50d1df7ac8, 1536:cQkE9VQPAWV83kb8Cw2HxD2jw50rOLEvepPzRxQMDoicKmbNNA+mCVrQAFW9OXkz:hQR83rGh5OepPNSKuY+mCVrQAFiOXkYe,"901016.bin.TMP", Linux executable (ELF), 97531 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/a-r.m-5.Fourloko", e036b7fdb991539f323bf3f96ff5a0d2, dce856c92ffd83c1fd8babc994927383a1f6ca12, 015b27e1b74e9a7c50c1dddeb9ab36b5eade401e9bea6cd638d691074fc62269, 1536:jBkF9VQPAGZXz+MfgcqVq1ifTPTxHOJfqPHsCE7XumREqQ4b/X7XSee:GQFXzFT16TeqPHpmREqQ4bv7XSee,"901018.bin.TMP", Linux executable (ELF), 92441 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/a-r.m-6.Fourloko", 346fd3c1b9d400b98c063dfb236ce2ec, b6d24fd6064487fcc5bc181d1c05c05e78d0ed0b, 23500ba59981f146bbb6d5f687dab0ae58eae2e42c4d851629381b17e2126877, 3072:wdAkae+l8tZ2hWJJorXDELqzQbmTQOWsXAOn:wykae+l8BorXDibmTQOWCAOn,"901027.bin.TMP", Linux executable (ELF), 111521 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/a-r.m-7.Fourloko", 5c66cfdbf14f29832bbe5eea9fea319c, 93bfe241b136fc4abe76a8a13a40dec03cf3551c, ec3c5f18ba1455f1eafa0a90a3716b3cc3fbdf23d9afb5a99ad9af4d18c2264a, 1536:lQm/PYM4bk/7Wv9Sc4Q3XFKAR9CO8l8EmQ9VqXjtWf2Xe:lVJnyoc4Q3XNT8l8EmQ9VqXBWf2Xe,"901025.bin.TMP", Linux executable (ELF), 84797 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/i-5.8-6.Fourloko", 186f78b1d9ce932ea155a1bf3a19babe, a9f133d0bfe7469c4dcfe37e8974ea6c10fa5dd9, a791324ed6ae1756c7e343e12b64c4757aad82b83b1155c1bcbf56d1769d0c44, 1536:4wZuvdpB8F9OEG6ktQm3r/FS3n9RIB6Yy36gq52fPy6Vk/TmQ9VqXjewf2Le:B0p09W6KTG/IB6Yy36PAPTVkmQ9VqXy+,"901026.bin.TMP", Linux executable (ELF), 91080 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/m-6.8-k.Fourloko", abe7a8d47b32dcbcb7fcc53513e41886, ed74dacb5ee41604fc49df42d5686221817a9798, db44af368c69e52c66c8470232f2c4e1a49822afa594d56828786d8a806773da, 3072:bBnEaZUpFYZ6qAllzRohJinnFEM/9WKmpwfvRQfZn:blEaZUpFYsqwRoHinneM/9HmpwfvafZn,"901017.bin.TMP", Linux executable (ELF), 150386 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/m-i.p-s.Fourloko", d3609817890b29744919decc28dc6ca8, dd2dfbf950bcd89789cfcb4e868afaf5013897d6, 7f7dfc862594592de9e52eedcd1fa081edf61615005a3e30ac46d146df35e911, 1536:27ju1Thpq+XvYC2rKy3eYxPGEEeRYYIx8vEC7ZXA4PUmkiSFxfC7xbXe:RvYBPGEu/xFs64PUmkiSFxfKxbXe,"901024.bin.TMP", Linux executable (ELF), 113268 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/m-p.s-l.Fourloko", e9f879819762aad03e9ff22f1df17e70, 9181defc4e4958d051afae87950cf8d7c412ba1d, 9ab3f098f2380f080dbccd51cae331757b01df41f67181b403253dfe343228e8, 1536:ZLeTukthhSMOCMQS+ZjN4pjuIxreg2OEtWklwUmkiSFxfC7xbXe:ZRHC3S+dUrextnwUmkiSFxfKxbXe,"901028.bin.TMP", Linux executable (ELF), 113268 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/p-p.c-.Fourloko", d3a738560a0eb6b64ce701fa325c519f, d7b00eafa494c57153c6b96a2ecbdbd331c9b3c4, 7a743991fb3fbb64bfb8514eae767cf896a60b179457ff5209dbfb50d1df7ac8, 1536:cQkE9VQPAWV83kb8Cw2HxD2jw50rOLEvepPzRxQMDoicKmbNNA+mCVrQAFW9OXkz:hQR83rGh5OepPNSKuY+mCVrQAFiOXkYe,"901020.bin.TMP", Linux executable (ELF), 97531 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/s-h.4-.Fourloko", 597a9ed7f417fc8581f4a9f9c25013fd, f5c42db1634d24bdeccb2e8b5ae23e0e54361a13, 5831dccc840a629767b13c9029b7350655c0aa36f95c0e6ddd8c64b63b31ee71, 1536:Mwy558fBKepVIISJgtxqENpcCmS0oJismj9VqYLe8f26e:fYifIexSJgJcJS0oYsmj9VqYq8f26e,"901019.bin.TMP", Linux executable (ELF), 77750 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/x-3.2-.Fourloko", 8115cc4466371184c3b93ccf27f778d3, c9dfc76f4bc51043f88f96ac28e3317c27a6503c, dffe2d071cb1bfdb4e6de3d9e667cf1253cba6b9c9e07f2877bee849e3285f05, 1536:0+xNVpGQWuKv8xKBnq5PeOj5zMLJS5qmLI2VOCjXUfJRk:nNT830xKBnq9eGSS5qmU2VOCbUfJRk,"901022.bin.TMP", Linux executable (ELF), 74017 bytes, -, -
2020-12-09, "bashlite elf gafgyt", "http://2.59.117.120/x-8.6-.Fourloko", 33fe062685497566cafc420dfe145bf7, 6916f26abfd6230cf3e614ade61b90aa3c2acc46, e2a03208c4194c2929ce0caa518ea350a0c64d90623096a103d14045937637c1, 1536:eB7cH1LhKlBqIKVhuzdPQq0aJP9sWtjG7ew3nYLWODPPmoIYuOVje+ZNne:eRMhKlcluzdPv0o+QK7eknYL1DHmrYur,"901021.bin.TMP", Linux executable (ELF), 85796 bytes, -, -
2020-12-09, "dll Dridex", "http://amargroup.co.in/H3uMNBhqvl62y.php", 9f284575f02f923b854cbd1386f0f2b0, 92e1e67d418dc112f54a6072ada99afc4eb1114c, 3011302a9a1be43dbf8d04eb715e3125960a7eedd5fbbc9459d5c6caab15acd2, 3072:4ftWifsUYtxHXHpuYN6iEtck2Pqj5iDv6BYCYaJgnW:4ftYTkYbocTPqsDv2YCYygn,"902706.bin.TMP", Windows executable (MZ), 167936 bytes, rh:59472c87d6fa5067e091c09554bd6d3f, mh:964290b3c977e1138fa4bc376b24dbfc
