# Generated 2020-12-27 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/sparc", 4a95bba8fb7e3636bced770e1d893903, 1a614ae24819605c23499ecd4190f6aac0fe4f93, f2840ec78d2567f071d12c75136c3b292ef65e8d22377cdb4d2ee91d0b22001f, 3072:wsrp9xV+GZTZepNPhj+e3fSqPwL7ymm/QMurB1nKGNb:SMQplVwamm/QMurB1nKGNb,"942592.bin.TMP", Linux executable (ELF), 129856 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/x86", 1663ff96ed8300ac0a014ab1cf4b1288, 85d7db331a6c21f643ebd15cbc1c3b087c4e89de, a3a245e9a5660b28f7e1e69581ab51684155fb06f7504456cbde1baa8c0b24bc, 3072:kiry859a2ADJf9wHYqbgFFo8+HeAZ+TRCm7FnVqfJXFWbNb:T9a2aLqkrMksm7FnVqfJXFWbNb,"942603.bin.TMP", Linux executable (ELF), 116503 bytes, -, -
2020-12-26, "CoinMiner exe", "http://tsrv4.ws/23.exe", 6b34c7a8ba353c6f2d54f3226da2f4b8, 78dbc792083d1cc09ecc9868f2b66b505cabeec1, 9ede66863b43a80a99cb77abbaf1a35283d0e9e420b64cc669a5201e975ccc76, 384:FtDRNUrnOq+irEb5XekX5CiWfIsSlLmm2ikXl6AwzSGOn6z+eG0iv1BJ/5yTO/eC:nD7UzOq+Nb5X75wMZF9MPtBJ/UCeF8,"942395.bin.TMP", Windows executable (MZ), 38080 bytes, rh:ed7e9fc323213475d47272e9d7f93e83, -
2020-12-26, "ddos elf mirai", "http://193.239.147.47/1az01dc/oni1.arm", 9ccf38f369109b6d4f5137f62d5fea13, e0d90db2937eb2a1a73c4da17c41fb2af5e2906b, 31085c31af148840a088e66f8c39423747e831044c295b284b2b034cb74ae83e, 1536:bZ4ZLO7YQ010oQJ6sZad7jL1B8t46eTmL1Jun:bZ4k7L0l7nn84JT41Ju,"942486.bin.TMP", Linux executable (ELF), 70652 bytes, -, -
2020-12-26, "ddos elf mirai", "http://193.239.147.47/1az01dc/oni1.arm5", 7b3ba0ae03bb7b1d17a3b32b609e167e, 4a599536397e651e4753752f5c4a3ce99aacbcc3, ddc5bb30541b54369990896b40787917a1cc164feb20f3b34eec46a11205cde7, 768:STP5SX4ltGcJbfrG0Gn37+2xrZTRDFPFso1Jcy0uiDz701T1fj7NSqtUut65aQ8N:0BSXGDfrGnLBxrbxFPcB8t464qj2nq,"942485.bin.TMP", Linux executable (ELF), 61220 bytes, -, -
2020-12-26, "ddos elf mirai", "http://193.239.147.47/1az01dc/oni1.arm6", 65c67d593eca16bf407108364df7f685, 337157d7bbdf82aeeeb18fc2767a2eb87af213a3, 995d9cbd74ea9c8a4a14e86e0803ba70bbbbdaf1853fc4132f83aed680dda137, 1536:CKnF7o8MJxqhZYwdzuKsDaaM+U4J70qNddLrkz7I9isOgDmhc:Z7oRChZxdNmyIYqNn5OgDmh,"942487.bin.TMP", Linux executable (ELF), 80552 bytes, -, -
2020-12-26, "ddos elf mirai", "http://193.239.147.47/1az01dc/oni1.mips", 5600e97803d80964fa6a40a2420085ac, accf5b4e80426fff25ace1761251c3c711a9f869, 2f4b0a65f58e97474dc118aa709966ff5ee35426cec809f48162e5027f441217, 1536:vUGBUiX8EwS5U38ka9fkKSdkVD+lW8AIE2IvSk7IB6X1+C7vzZaJgUnnrm:M4lMET7kKSd2+lW8AIE2IvrMG1+C7vz5,"942484.bin.TMP", Linux executable (ELF), 92268 bytes, -, -
2020-12-26, "ddos elf mirai", "http://193.239.147.47/1az01dc/oni1.mpsl", ebf13249293f24bedc55d3da94de48df, ac5fcc3e41e11e2e9a3416f6534b4775fcaf2baf, df1d953c469277a6250e60fc09a05532cc5864fdc881a244f5633ac3321351e0, 1536:2hG+9sUX9ZBLftSvTKp6/ZymayBJkMFlBgl+oJZSYHi2:iG+9sUX9fftA+p61SJ,"942483.bin.TMP", Linux executable (ELF), 92268 bytes, -, -
2020-12-26, "ddos elf mirai", "http://193.239.147.47/1az01dc/oni1.x86", 8f0a4e1d338db61e29b6c5e03c4a7be5, 3fef9ce245b5233a138d12f1cf3e66d5500dc6ce, b4ad8e34e054c60aca66695d479e69a95278ed553b84ef072c30e91be7a036de, 1536:V5Vn4pXoqVExGxRP3MFnKiwjGKO18HKaPWKm0UnDBMAG9j:7R4pxuxGxB3MFnKrGHCHKmf+dK,"942488.bin.TMP", Linux executable (ELF), 63696 bytes, -, -
2020-12-26, "dll", "http://gxd3fp7fe7cac6jzn2sac.online/nethelper.dll", e835f27f6b6a2b0af42873ce2cc6cc07, 6f0d337dff455f08f29f20a75dd5f2de2d9ae19a, 84762c5267b583916431e0a1170809b4f366d54fd0d48aea4f07256f10984f84, 3072:BCMcU7OCF+6/l8j31YPlV2/1WigHBOGluLO:BOUyCb4F6KUiGvluLO,"942637.bin.TMP", Windows executable (MZ), 231424 bytes, rh:6d4f1705fb34841558b9a2fd23b3fec1, -
