# Generated 2020-06-09 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-06-08, " exe AgentTesla Loki", "http://boasteel.us/band.exe", df111b39e9fc4af38afae83d83872dd6, ccec2bbc0e6dd14b98365672ba3778ed5d9ace66, 5e095f19ee1f47f01ee5dad9828fef4bd1047feb4860765b5ac387b2ac371330, 12288:gEv8FVujUpVTWgThfJ614X5p/iYHI0Oq8M0oko8ZiFhDF8KSpTTj/XKYK6o8mYQh:gEEbuQ9WmD1HITPTnXd94ZQOxbaA8fE,"383118.bin.TMP", Windows executable (MZ), 704512 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "AgentTesla exe", "http://boasteel.us/holy.exe", d93caf08a99c9ed0c4252312c25f6b38, c1040f04d344823e82d6514f7e2a87f81fcc9f85, 29503feaa5debe98241301a773875a564f67a4183ed681bc90b582824de6944c, 12288:oEv8FVujUpVTWgThfJ614X5p/iYHI0Oq8M0oko8ZiFhDF8KSpTTj/X4JFXGyv0Bc:oEEbuQ9WmD1HITPTnX4JJPKK7OWJ/L,"383962.bin.TMP", Windows executable (MZ), 714752 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "AgentTesla exe", "http://boasteel.us/june8n.exe", b292d20b1371c50ccd89e68ff07f0081, 55d4499e16e7bff72f2ed44e4f6d09c825924240, 36b1d505b9169fcf6c35cc4337b3e87b71f535424960e78cb5063582fd99840d, 12288:XEv8FVujUpVTWgThfJ614X5p/iYHI0Oq8M0oko8ZiFhDF8KSpTTj/XPFJYz5ok8d:XEEbuQ9WmD1HITPTnXPFJwr8ou8OnHoO,"383963.bin.TMP", Windows executable (MZ), 732160 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "AgentTesla exe", "http://boasteel.us/june8o.exe", b899280ab0452556b5f9e20583299a5a, 898ef8baa4733f27bb6473cc4bb71c0309b54d94, c6e26d183274fdfc63535e49ede53c4e7894de05f0054341bb031598186f138c, 12288:QEv8FVujUpVTWgThfJ614X5p/iYHI0Oq8M0oko8ZiFhDF8KSpTTj/XaLc29/IAic:QEEbuQ9WmD1HITPTnX69/IZqmfbiMECi,"383964.bin.TMP", Windows executable (MZ), 726016 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "AgentTesla exe", "http://boasteel.us/sezi.exe", 73a4b3dc3670a21ca61e1ce484e80f51, 403027cf1c2290e2a4289755b75390264393afdc, 9855128084d3f64cad749acea4eae6e76615e7bb2af406cfbc7a3e0c8932ab2c, 12288:YEv8FVujUpVTWgThfJ614X5p/iYHI0Oq8M0oko8ZiFhDF8KSpTTj/X98G5hiaV+y:YEEbuQ9WmD1HITPTnXSGy27HZ,"383965.bin.TMP", Windows executable (MZ), 709632 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "AgentTesla exe", "http://www.bradleyandbradley.net/wp-admin/f4DosyqpMN0jUiC.exe", 0cf5af78d2d1267d19db5a4af5aef790, 557c1240a2832dea5f44ce445ce6dae069288501, 920b0a91b717d618e6f64fd01ef9b08aeaf51046fb62ee9839731795dc5aa85d, 12288:7JbyJS4lTKwiXQeMiOH2P/4PseRMePw9sXElLzDyPGNRMr0+wx:EZlTHiA6OH2/4PJzw6XWLHy6,"382915.bin.TMP", Windows executable (MZ), 705536 bytes, nh:dbdb65116dc47abc8975e5b56cd8ffd1, mh:3bc2bfd2ae8b4671257ee12775339b9c
2020-06-08, "AgentTesla exe", "http://www.bradleyandbradley.net/wp-admin/Y7ySzuEL5LPSu3V.exe", cac1c17922bba30aef18ac54589613dd, f5395054e215cc59e23dc936195550c494807dbd, 7e0ff16b703b28cbddcb1dbee887ecc563e6cbde9e39216924280436ad5dc588, 12288:IBLKvuM12ZxDJwAmiafEkeBY/yRjyLEnNuylDG8Wp8W0:bKyyFHUvV0,"382914.bin.TMP", Windows executable (MZ), 441856 bytes, nh:9793362ce557b3648d92c303eeb1a8e7, mh:47d55ab1be1c4e3dbe84b422be6d3c8b
2020-06-08, "AgentTesla exe", "http://www.nesilgroup.com.tr/wp-content/Ovbm.exe", 683bb2af463da72180707122c28a36e9, adb2d3b58dbad82db72d4350c7b5544257287361, 2865a12b350dd2ea38de20b7b2a97f968c929114e408fa901b1e5a100b7c5ef4, 12288:8dPtb7MgT2HIovZq8Ccoq4McalWmncimv1TTd:8xt8HRxquF4zalWmnZ0tT,"383177.bin.TMP", Windows executable (MZ), 448000 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "AgentTesla exe", "https://storage.googleapis.com/auto_connect/vlc.exe", fef4bfdabc8909ea6652af17eb27d246, 007a0646c0d84ac6889e7f29fa8315f731f87e1c, 064db475e51e2da2075158810fe692f90b6ac409003e42a22af838dda326c643, 12288:jB0lAOqFhgsN4DJRXGegBpcm0cqJLvpS7gzpdWv:BOqFqRXGnpcm0REgNI,"383047.bin.TMP", Windows executable (MZ), 446976 bytes, nh:e196e3349ea23069bb8947f608d7f7c5, mh:fe30ce643be1052aba9e69ba2c8524ed
2020-06-08, "AgentTesla", "http://abass.ir/testx/testx.exe", e0a627dfbb8da0c2b23e909f7e8706de, 3543c9e57a2d6aad7334556194d5988f1afc591b, 1732fc76c4c266165343bf072bdcc476ecac981b72bb5f583e4ce338485673e3, 12288:IEv8FVujUpVTWgThfJ614X5p/iYHI0Oq8M0oko8ZiFhDF8KSpTTj/XHLGgJxBMYV:IEEbuQ9WmD1HITPTnXHLGgJxBxQC688i,"383139.bin.TMP", Windows executable (MZ), 708608 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "anubis apk ", "http://btk-destek.com/btkdestek.apk", 569ebd03c1f5f1c5da35fd0d390a5c14, 1b8833ec4d2b09cdcdeccda8f3c7830f330863db, 5a67195e7dbc5264344e1e7fbb08277beebea2b20c1258defb66ef2116f2a896, 12288:DPD1cIiT0D1cIscD1cIMD1cIqD1cIebB8PDBtI6vnLQJE7Vh0nU:DPGT0QcIuyBAieMJEXyU,"383159.bin.TMP", PKZipped file (Office .JAR .WAR), 733392 bytes, -, -
2020-06-08, "apk  Cerberus", "http://2000tldestek.com/Hes.apk", 25d1e8f29c3d60266b468a16683f0cc9, 283542453b93caa5c81323df3309e3cebd37feb2, a43255bf4b25a2579db509ef3cc1a8e3f3e62bc06c43924fd4538b49a584e44e, 24576:/xYxFZY83fqkx+71jQL6mC5ZrdDtcmU7Ho/Yqis3bM4cJM7tSb0lh9MZe3X2/z3n:/gNftikoZp5cxei+44c+sQnbVXpm,"383157.bin.TMP", PKZipped file (Office .JAR .WAR), 1858774 bytes, -, -
2020-06-08, "apk  Cerberus", "http://sende-yararlanabilirsin.com/hediye20gb.apk", 8803f157e053a9c2a2958359f8d0c3f0, 70c8f42ec46956a261952a6574f681829c31824a, fe31e02c465a586766ddc0e5092b3c04739ba9628f89b371e5c7fe4c21c16bc5, 6144:lCVRBJ0GddegCuSavwKnP8qtRLX9IKDzDXfN6P6Iz:lCV1oCIMEERLX97HRUv,"383160.bin.TMP", PKZipped file (Office .JAR .WAR), 308312 bytes, -, -
