# Generated 2021-02-26 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-02-26, "elf gafgyt", "http://134.195.139.4/openssh", 0aafa92166227e0513023d4a1cbd7383, 5e56014ae430bb6146a4bd372b42f1df8e7d2207, 833fdec4449eb91f543702bae3b1aeaf063bf0d94c0776c73f02bc844968ec93, 3072:1phsj9gc81AtQHG0hP6+RQQ8gmV16AG7GcWa:1py9gB1h3i++Q8gmV16z7GcWa,"1032116.bin.TMP", Linux executable (ELF), 110356 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/pftp", 34fac69225b9e5f433c7e8964e4926aa, 8eb4e0232c03b858723052ad022b78c15231b010, 90f02be6fb6f6c16ca9c3cd1ac82c181ee4f9fc77c1e4866640990d051da70cf, 3072:pbzfPsFPHmwwHIwDFBKs8zUFrCLybA74oJCz+n/bmV1TZwGBGcZa:p/ykowDFos32LybOJBn/bmV1TZDBGcZa,"1032107.bin.TMP", Linux executable (ELF), 126606 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/sh", e6c7b7641dd32122bcfbdbcbaabd4c48, b201df04840f65f47297c54f232040a360361c99, 523d8dd8013a37f9894cec8c6014c5d8c8fe0f19a2bf87daa9cb0fd30494fca9, 3072:6eijMdoPv0ZwTd+KiWCebmF1HJwGBGK2a:Yg4oi+SCebmF1HJDBGK2a,"1032104.bin.TMP", Linux executable (ELF), 131305 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/sshd", ef26d8dc29fdd21d43087701552fb8d2, 4dfb1f96704eb70b615b462a1617fbf65a8853dc, f5118af5c0374bb51be6a0ba7d9f25a036c22ff71e0d31f7ab09ad61bbaaeda9, 3072:dT/LJH2xEpnedUf0mRfmHbehF6Ruk5KFCxlkiy7/a:dnJHKd2JfqeL6Ruk5KFCxlxy7/a,"1032118.bin.TMP", Linux executable (ELF), 157613 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/tftp", 5907d24a48f7bde37fe80cec08aceb28, 55d9b0304d3cda6cec25bb5e9a65337036e7a716, 921f25de86a725b4a42f6bea0905774253b0cbb7179284117dd8aca129d34d63, 3072:tFdzcBt7JZO1elI/xYNimnnzEoAt1AXf+WaxAofRahgjzgNyTb29PGx7FnWCH2y5:E1aioJa+YNy3QGRFnWo9mgQKSwGohh,"1032122.bin.TMP", Linux executable (ELF), 145296 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/wget", 993853b1af1dd8d28d462b2b7d74338b, 8ba44217fd9f155b379335bb4ee736a9d6aeabe0, 1c2c34082f8a7391c2f6a9fafc73184e8367fac83324aba1c5761092efe85585, 3072:ZqzyG7kqZt2BHYPeSY8oMtqCF2bhVCj+HGEGRtA:0rU2PeSpQM2bhVCj+mEGRtA,"1032113.bin.TMP", Linux executable (ELF), 101903 bytes, -, -
2021-02-26, "elf gafgyt", "http://92.223.109.92/ghost1.arm4", 2be1ad34b5707a6f31ad79391c72f8ef, fa90802812c5407c360555016001cb7bcae4f267, 2f1815671f2afc25ad8a309900deb68db71190f37ad189cacf4e81db8a5ac794, 1536:g6dPtuE41083plZag3/9p04OTkvOMEEEPQqcHXkRclyrYAdrEmlTrQhFWYLhGfe:HuE4/1/pnOXPSkR4ypEmlTrQhFPLhGfe,"1032069.bin.TMP", Linux executable (ELF), 97409 bytes, -, -
2021-02-26, "elf gafgyt", "http://92.223.109.92/ghost1.arm5", 068be3d0700025983246e9f625a1db26, eb0e95e7c5b88d3ad2d413fe93f42ee61b8a18d6, e984b8fa98e5c17e5ec8cb7ea524b50f97e5c12cbbb6d32e9b5e3cc36aa07bd0, 1536:onbzYpvw76fNyfuCkxwPh6xEOdXMPqTyhe46hFIcF6dm2kqQzb/gAhUze:9pvw0pC76HMPqTymim2kqQzboAhUze,"1032059.bin.TMP", Linux executable (ELF), 92567 bytes, -, -
2021-02-26, "elf gafgyt", "http://92.223.109.92/ghost1.arm6", 33f981724cd8d0e4ee267895ca3dce4c, 8b54c2a4f9fe2917210f86e5d028bf210c4f0dd5, 0863846888715b20e01a1f41acacc758490c2cb6588688a1029841ad2199da96, 3072:isag7RIutgm+raEHnmD1s6JnQbmOQfWTXjln:nag7RIuWHnmDxnQbmOQfWTjln,"1032058.bin.TMP", Linux executable (ELF), 111615 bytes, -, -
2021-02-26, "elf gafgyt", "http://92.223.109.92/ghost1.mips", 9de8877079f8ed1c1c43eacb63945710, a6e5128503957dc1dac0975594508d1774d8de8b, c5b103b0f68a719f6543d0e3d3d2d02d02d99019e3eda30ecec53afd1377bcc8, 1536:+7jO1TZGq+Dke+fyuxel7dSs9e3nlZvlghnBUmkxmF8fCecBGe:Z327dSsuXvwBUmkxmF8fzcBGe,"1032070.bin.TMP", Linux executable (ELF), 113354 bytes, -, -
2021-02-26, "elf gafgyt", "http://92.223.109.92/ghost1.mpsl", 37b2979291717e3b06fe4a6715f394b6, 784b09bfaf837ee20d3adb1c45c5b375438825af, df1fd4b3f140ef3282617b44cf6f9d5b8d4e89b3e8b58a496e95765c7246e4e6, 1536:9DreT620FHeaj44MRoZBrfPNuMNzIg+vz34MmjrUmkxmF8fCecBGe:VE0q4GooczIv3GfUmkxmF8fzcBGe,"1032067.bin.TMP", Linux executable (ELF), 113354 bytes, -, -
2021-02-26, "elf gafgyt", "http://92.223.109.92/ghost1.ppc", 3daf97136f8fc8c763227135c288c87a, 155bc618abedadacceea2afe21617b0cf116252f, 60136813616885a127aa9bd70aaec6d8dabe4e83a280d6dbfcd940d6434062f8, 1536:BRQYn17V+oTBzHOd8yz/8klL7w12tc3634slRz38/3hNlEmX1VhXjinRQce:L/CoTBzHOd8yzxPw4c3635+/3flEmX1P,"1032074.bin.TMP", Linux executable (ELF), 85131 bytes, -, -
2021-02-26, "elf gafgyt", "http://92.223.109.92/ghost1.sparc", 65d4845af3398f36ea4a71b6601e5319, 56b3b2ff7855dee4d5f48d5675d924bc08051c79, 2153500a166a5866d07bba5dc3a96fbf60a9cc847267863f0d47cf863bd6421d, 1536:7C+bWMNM5+tAKtQ5lTPMGcmX1FhXjxtRjQ5e:EMN8LKAlgGcmX1FhXNtRM5e,"1032073.bin.TMP", Linux executable (ELF), 95829 bytes, -, -
2021-02-26, "elf mirai", "http://194.37.82.75/nKorea/PornHub.spc", 3449d2165e25a15d4313b15289b0405f, 60609ec9ce1220a263bb574fa31b21dcf4d5cb84, da94a8188a19decc675e6953e159e8a7239ce2db8bee5ec5ddc421d95a159e33, 1536:uGq/ukZDEl7d4jFa9XTbxFi+/cpDfwpoE6vmZ84GpFRq:ZkZDEZji+/cpDfd1vmNGpq,"1031629.bin.TMP", Linux executable (ELF), 88336 bytes, -, -
2021-02-26, "elf", "http://175.180.143.169:13050/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"1030613.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2021-02-26, "elf", "http://194.37.82.75/nKorea/PornHub.arm", 7296412619af2aeaa5c9e1ed4ed80a4f, 42f79ea544b695d1f1126275612a0297a9a3f404, cedcab2622150863ffb1f90d577360c385836fdf337de30efd561ece801bb0ab, 768:O5k+dyi9GgflodUUuiVfql7ew3tSDH6KomrQoiB6kW3s3Uoz1:G3ZvadLpql7eZzTQhBqqz1,"1031406.bin.TMP", Linux executable (ELF), 31404 bytes, -, -
2021-02-26, "elf", "http://194.37.82.75/nKorea/PornHub.arm5", b007b566fb5d50cd4fc65be5470d4bff, 89ab5ce3cd82086dd26b917b62448f4b37a68b02, 50c29b3274b5833f63be34d69dfd786bca15ff1308c6b84c17254d9c5eef801a, 768:TLM1TSqyIYoKgIaUANDbNoAYBXs3UozLE:T8O3IYRiRbNnYBKzA,"1031398.bin.TMP", Linux executable (ELF), 26972 bytes, -, -
2021-02-26, "elf", "http://194.37.82.75/nKorea/PornHub.arm6", e27fbd1bdecf14009db91535f2d177b3, b371552300b3e68977605898a213926f4d574bb9, 5dc514d5fb5bef3497c73d3396515512c8c4979451a5d561855c0d7980ece2f9, 768:lO8HnvOT8KL1lXo2xBJpgEQ3M9q3UELEz:lO6niXLs2xBuVLK,"1031401.bin.TMP", Linux executable (ELF), 36180 bytes, -, -
2021-02-26, "elf", "http://194.37.82.75/nKorea/PornHub.arm7", af46415fc4fdf6465306787778e3ec77, 88d5f2a4fd410e5cb7ed6b93f4a06ba4c6639133, 424edfe6f930394006bca1c036f1d58bc8eeff93237f2c31c5db8a72f83059f0, 1536:J2Qr5E1O6YYMaqQHggNdLt8+N+LlNCrCx:gQr+1OapAA5D+LlNCrm,"1031399.bin.TMP", Linux executable (ELF), 55688 bytes, -, -
2021-02-26, "elf", "http://194.37.82.75/nKorea/PornHub.m68k", c14e82ae5c97ed8a575403a500de2645, 7a9557f3c6a50fbd1a204bcc97f21b7ca91a952f, adaf4802935a8719c1bd03b1b7ccf69c999a56ec182e99ff22b2e49a94809892, 1536:YDPRUQW/p52aXot6Ozl2n1+3uC7Prng1p0ioLCK8rv9YMDdMy3F8j:YDIHXLMrKp0cfzVM6y,"1031403.bin.TMP", Linux executable (ELF), 80636 bytes, -, -
2021-02-26, "elf", "http://194.37.82.75/nKorea/PornHub.mips", 16167d04c2f79564ef2a2d25a4aaf5a0, 1c64a6637278f79da129e6ce5965bf087fbc9936, 257129ba8449ae5b0163e93a658c275d1cfd8ab73fdc6950a09c6defd9c150ad, 768:9++At3y3xycLnoyivTQmvQPPsWiK4oB8v8DtCISndrJgGlzDpbuR1Jn:fY3eoyivT2NB8v8DQIsnVJuZ,"1031400.bin.TMP", Linux executable (ELF), 32436 bytes, -, -
2021-02-26, "elf", "http://194.37.82.75/nKorea/PornHub.mpsl", 4f1ea52f33f7e126d81bdfb79bc23d62, 40bba73f12986408a9a5f7a5c54f27915ca3752d, 38992c24b97ea5bee70dc81de819185a9268e116fb71dbbc0d8f121839b801b0, 768:9Atlu1sjec9UEzVzhhrfYYH70CWUpQCNSiAWpG:qt4KnmE9rtb0CWUpQiSiTG,"1031402.bin.TMP", Linux executable (ELF), 33608 bytes, -, -
2021-02-26, "elf", "http://194.37.82.75/nKorea/PornHub.ppc", 6363c98a64988dc6f02717539d3f758e, 7fb139ea343b438dd8a1e45238c46a96adef7b4d, 40efd86a95ca7a9fc1061924e91e6f9d0cc0f2320be1bd3fc2df4e8ca3831308, 768:70TIwbwH6xtu/rZlPJehAtfxh/emhCY4uVcqgw098S:7SIoh/u/rnRehAtJwo4u+qgw098S,"1031404.bin.TMP", Linux executable (ELF), 29672 bytes, -, -
