# Generated 2020-11-04 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-11-03, "lokibot", "http://192.3.152.134/nda/vbc.exe", c3625ccbd503205305fbee104c373165, fa9672023268a4f6bee24d9c78dd21af2f3c7c7e, 9ebe51e383ea0bdd41359e085172e6555e9f7e24cae16c128f84b8def85f48ad, 12288:fyGF4w1MnOL8lPVm6J4pOzfNJnY4kGDsfQcnkV4A80yJiskcTP8:rTMOsVm6OCfNJnjkGkE4B0vsf,"784290.bin.TMP", Windows executable (MZ), 759296 bytes, nh:cd2fdf6c6bac672bb10f9dd0955b1730, mh:570125aced52dcf9a738a85f153658b9
2020-11-04, "AsyncRAT exe", "https://pastebin.com/raw/gKj7pL77", a756ed6c52b6e11957e2836a3ea050e9, 6bf1faf2da702d07ebd636689303d0bdc66d7ffa, 476959c9483a3287139417a0ff5573da71ea6b1767e8bf8381680e4900e31ab6, 1536:m+lxwfz7WuRagrlH7wL1NNgFcmFmc7KoRT:8iyN0JmTKI,"787219.bin.TMP", Windows executable (MZ) (Base64), 61440 bytes, -, -
2020-11-04, "bazaloader exe", "https://s3.amazonaws.com/agilecrm/panel/uploaded-logo/talibtalib/1604421730900/efdf344f4fdsdff.exe", 8f62ed60962df60d1d11c6e2a97a3a6e, d7a80002dba75d642cd05f094110e147541f2058, df25322be14f617652607a150c806b4ecb3a3317564755518b8100063b58a50e, 12288:YXpzXCqIsnDvnfiCVXwfu02zUVcvUp8iSi+3rrKAfF0:YXpz7hnDvn5VXwfu7zUVcRHT3PKA90,"785264.bin.TMP", Windows executable (MZ), 687616 bytes, rh:d10d5777693192c88c5801ce0721452d, -
2020-11-04, "ddos elf mirai", "http://185.172.110.241/bins/cfcucoff.arm7", 9d55a154e165eea058c7adaad86c9225, 483f765de050c8fd02ab4e730e1536fc46a83ce7, 65ac7685aa3a45957210b8f52c45a20012bd2b8d61839a6ea5e198ad456678a1, 3072:zr0T4fWX9UjFQdDG4u3CaoTZa5hi3nbPWpG02XMC8SO5hl94/jYimMzM/9almLws:zr0T4fWX9UjFqCXChZa5hi3bPA2XMhFd,"786376.bin.TMP", Linux executable (ELF), 192257 bytes, -, -
2020-11-04, "dll Dridex", "http://app.leanchefs.com/wlsh8l.jpg", 8d6878e2821b5b36b3a00b26bc71ac03, 3eb0e2b0c8a2e91ce5edcdcfb199a8a282271a89, 91c376e46a03fd60bd99fac07389eea32d1098ee23ac154aedd90025bc64528a, 24576:MoJyeATYsn7JZGPgD0sQ6pSMATo40OhxSDeK:dJyeAjnCggWLABv,"786394.bin.TMP", Windows executable (MZ), 1118720 bytes, rh:921868413276f58aa8fa772db0cccf50, mh:b5f2e2d1269aa04e3eff51d47c2d082a
2020-11-04, "dll Dridex", "http://coroassaofrancisco.com.br/f2mby5c.rar", 8d6878e2821b5b36b3a00b26bc71ac03, 3eb0e2b0c8a2e91ce5edcdcfb199a8a282271a89, 91c376e46a03fd60bd99fac07389eea32d1098ee23ac154aedd90025bc64528a, 24576:MoJyeATYsn7JZGPgD0sQ6pSMATo40OhxSDeK:dJyeAjnCggWLABv,"786398.bin.TMP", Windows executable (MZ), 1118720 bytes, rh:921868413276f58aa8fa772db0cccf50, mh:b5f2e2d1269aa04e3eff51d47c2d082a
2020-11-04, "dll Dridex", "http://CQsoiltesting.yourpageserver.com/bx0sd2d.zip", 8d6878e2821b5b36b3a00b26bc71ac03, 3eb0e2b0c8a2e91ce5edcdcfb199a8a282271a89, 91c376e46a03fd60bd99fac07389eea32d1098ee23ac154aedd90025bc64528a, 24576:MoJyeATYsn7JZGPgD0sQ6pSMATo40OhxSDeK:dJyeAjnCggWLABv,"786419.bin.TMP", Windows executable (MZ), 1118720 bytes, rh:921868413276f58aa8fa772db0cccf50, mh:b5f2e2d1269aa04e3eff51d47c2d082a
2020-11-04, "dll Dridex", "http://imdareg.linuxuatwebspiders.com/ajrlvn.jpg", 8d6878e2821b5b36b3a00b26bc71ac03, 3eb0e2b0c8a2e91ce5edcdcfb199a8a282271a89, 91c376e46a03fd60bd99fac07389eea32d1098ee23ac154aedd90025bc64528a, 24576:MoJyeATYsn7JZGPgD0sQ6pSMATo40OhxSDeK:dJyeAjnCggWLABv,"786396.bin.TMP", Windows executable (MZ), 1118720 bytes, rh:921868413276f58aa8fa772db0cccf50, mh:b5f2e2d1269aa04e3eff51d47c2d082a
2020-11-04, "dll Dridex", "http://ipi-internet.linuxuatwebspiders.com/j9j8ud.pdf", 8d6878e2821b5b36b3a00b26bc71ac03, 3eb0e2b0c8a2e91ce5edcdcfb199a8a282271a89, 91c376e46a03fd60bd99fac07389eea32d1098ee23ac154aedd90025bc64528a, 24576:MoJyeATYsn7JZGPgD0sQ6pSMATo40OhxSDeK:dJyeAjnCggWLABv,"786421.bin.TMP", Windows executable (MZ), 1118720 bytes, rh:921868413276f58aa8fa772db0cccf50, mh:b5f2e2d1269aa04e3eff51d47c2d082a
2020-11-04, "dll Dridex", "http://ipitest.linuxuatwebspiders.com/vglgi9ob.gif", 8d6878e2821b5b36b3a00b26bc71ac03, 3eb0e2b0c8a2e91ce5edcdcfb199a8a282271a89, 91c376e46a03fd60bd99fac07389eea32d1098ee23ac154aedd90025bc64528a, 24576:MoJyeATYsn7JZGPgD0sQ6pSMATo40OhxSDeK:dJyeAjnCggWLABv,"786412.bin.TMP", Windows executable (MZ), 1118720 bytes, rh:921868413276f58aa8fa772db0cccf50, mh:b5f2e2d1269aa04e3eff51d47c2d082a
2020-11-04, "dll Dridex", "http://live.dhlsupport.in/wyrwfdm.zip", 8d6878e2821b5b36b3a00b26bc71ac03, 3eb0e2b0c8a2e91ce5edcdcfb199a8a282271a89, 91c376e46a03fd60bd99fac07389eea32d1098ee23ac154aedd90025bc64528a, 24576:MoJyeATYsn7JZGPgD0sQ6pSMATo40OhxSDeK:dJyeAjnCggWLABv,"786422.bin.TMP", Windows executable (MZ), 1118720 bytes, rh:921868413276f58aa8fa772db0cccf50, mh:b5f2e2d1269aa04e3eff51d47c2d082a
