# Generated 2020-11-25 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-11-25, "elf gafgyt", "http://161.35.40.232/i-5.8-6.RAZA", 0055ca4dba583a5227abb6c7cbdd5fde, ea30001297601fc50403de22904781eedfacfbd5, 31fd9f3072e7f504fc93eadd57559d89781053d5c0a7d703e792c3b1a128a876, 1536:k4lQv1Sh8LrjAGJ0+QmiaGEe4V987DtgiyrugQN8fsTmQ9VqXjewf2Le:V6v1SWrBJpTZo7Rgiyru9HmQ9VqXywfx,"851570.bin.TMP", Linux executable (ELF), 93257 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/m-6.8-k.RAZA", 466a5af29bc1a4f439a42e2cfe6b0996, 27fa14ccb14b4ca2a3f7d5721099c4a2c7522ab3, 469d4ddff8d9ef13445f5c40380aab84121ab4405318d2fd5d95255d190a8704, 3072:LrbFJCact1nLNCn4IP9S6Efnc///M/9dcWVMXOmpwfvRQfZn:LrbXCact1npCB9S5fn4nM/92WVMXOmpf,"851575.bin.TMP", Linux executable (ELF), 152703 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/m-i.p-s.RAZA", 03f2147bdeaa9b63e673cdb860fa5ac2, 738b33a78bfd27c16429220779106a988747cb7a, 9e13395470b3a26e94a3080810f367b34062680f9b8539e919f10edb1e1c13bb, 1536:P7ju1Tepq+XLYh2rKVneDLNTTeTUdAO2irmJrStUmkiSFxfC7xbXe:WsQiLNTryO2iarStUmkiSFxfKxbXe,"851576.bin.TMP", Linux executable (ELF), 117385 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/m-p.s-l.RAZA", c0e6ce51e0b6575e9987acc101f8285a, 01d4ae286e8da37bb9441e0d29371ec9d8a138c7, 2808720683706aae68953e1417c41e63f06a29a51c44628bb5aaa8e54994b0fe, 1536:ZLeT8AhSgCSkSHMwKJrZkhzw4dI6vwgck1u2zfgB4UmkiSFxfC7xbXe:ZKkSHpKJr6fvw9UYKUmkiSFxfKxbXe,"851572.bin.TMP", Linux executable (ELF), 117385 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/p-p.c-.RAZA", 54eb5eb5acde62f7ce3c25cb50f5ae71, 801dff7a2f91e39c81cfad862aaae6681fad6d43, 646403b5e87f6ab9e76b6d3083d28ab34976426e30d8a4c3a2a87bfcbeeecfc4, 3072:s4OJYQTfYIFnPnuuEZFKmCVrQAFiOXkYe:CJYQUIFnPeKmCVrQAFiOXkYe,"851574.bin.TMP", Linux executable (ELF), 99992 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/s-h.4-.RAZA", 78875cc40d793a0ba168e9e4fccd7e54, bb2aae3f005f655eafbf7ab0e47024b382a8c7fd, a519e1defedef7b5bb69b3f598a07f54a848a5858aa5eb8607f1aa727900a2d1, 1536:WPM0nfJMKoe1tO8bfL0aiNa4CQ1dBmj9VqYLe8f26e:eHRToqbfIu4jNmj9VqYq8f26e,"851571.bin.TMP", Linux executable (ELF), 80431 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/x-3.2-.RAZA", 72fa692411af7c0c3d0078d7d6c91223, 6a8d1d19b6a3cb32b62c5e06c84f9c3871c86b0a, 334d482ea19a9814300609070e75df23d9b8fe4a0fefa8c7003248705e2c0527, 1536:xTqiVwv/WXKG01KNw7XsCtGV+73oncmLI2VOCjXUfJRk:YiVwG6ZKNw7sCQm7mU2VOCbUfJRk,"851573.bin.TMP", Linux executable (ELF), 76737 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/a-r.m-4.RAZA", 421561f42dc249d23c643faeb98ec152, d92af492de7e95df798cb4be2f0e71af8ac69da1, 4e1fd76760ab37e69991767a47e6b7381b7578d0936a5c4e185a9730c64373fd, 3072:s4OJYQTfYI9nPnuuEZFKmCVrQAFiOXkYe:CJYQUI9nPeKmCVrQAFiOXkYe,"851604.bin.TMP", Linux executable (ELF), 99992 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/a-r.m-5.RAZA", 35058978e65dd6bd14e61cda757146a8, a73cc15216bb0c4143d07f8e421e3719b41acb7d, 3ccf8a7f87de65eb8eb2fc7056ecacaaba7687dcdaae162ad050d4bbacd60952, 1536:fTT7FN4P6n3JdUdfAgmWcq1i+FajxHOCvtPQkVOyK9pY2emREqQ4b/X7XSee:34y5d0r1cjvtP3uLY9mREqQ4bv7XSee,"851605.bin.TMP", Linux executable (ELF), 93270 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/a-r.m-6.RAZA", bf897f9a14c1b9ac4a51985b9666e2a1, becd0b4326458d7eb131aed1b3471f7e8c79f937, 8b9ac0d2393a77f234ca33a7456153b3b1a5171dd8598cf34d2dcc1195fccbaa, 3072:MPkl1NaxGMgTt9Ov1/B+oBDoEwbmTQOWsXAOn:zl1NaxGMgTA+oBDAbmTQOWCAOn,"851603.bin.TMP", Linux executable (ELF), 115110 bytes, -, -
