# Generated 2020-09-23 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-23, " 2020-0-23 Dridex", "https://m-pcp2020.apps-ph.com/nzqheoy.txt", c8ec2aee1e6b3b1aa46f5c6dcf9c7110, 3edc2c3cbd1cd08b5e34b21433e5658e81f99f0d, 11d6703c422ba5ff6cbc0f40c5099a283dfd70fed43d1265366a4919201c6ce0, 6144:OaM65wVpzY9WKgRP2Ba6k0UwLBlZtR7ynoOyzzR42eAgA:OffY0P2BfxjhOQe67,"605953.bin.TMP", Windows executable (MZ), 327680 bytes, rh:cb8e9c5b7960715adb8791c540f12ccd, mh:3c9b1d98d3c934fb360d5cd8bd771a67
2020-09-23, "elf gafgyt", "http://45.76.255.176/a-r.m-6.SNOOPY", 1e090d9380eb3f6e823e1b6bfdce8717, 3032b41ca53d38c08a002f4509f71f38a074a02b, afae9ead863e2e8808f8aca3ca5c268f6bebaed10e95fcb7181dd2ca61ec62eb, 3072:wdA0a++h8tZ2hWJloefDq9jBy/bmTQOWsXAOn:wy0a++h8NoefDqgbmTQOWCAOn,"606189.bin.TMP", Linux executable (ELF), 111528 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/a-r.m-7.SNOOPY", abf3a1b0511af0a60cfe8af8e75bb38e, c4c5552ee868222f4aebd61902a904de22a6cd95, 72fcba4aa5d15580dfb6f495ed55103bffc8ebd7b2987c613ac70cfa7ea56b00, 1536:tQe/XQMozMT/aj5ecEo39igRNa/o3y6VZCEmQ9VqXjtWf2Xe:tNZrSUcEo3tOKyyCEmQ9VqXBWf2Xe,"606188.bin.TMP", Linux executable (ELF), 84796 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/i-5.8-6.SNOOPY", 0548e07c7fc7c0415d17a21dca0da8e9, 7bba5e9b49f363c159d7d5249caae3672c58b2c9, e963fb4403b5f601b3fe6c8ae803c9a32d437dc7ac53669f9d0026154233991f, 1536:4mZVaXpB8F9OEG6ktQm3r/FS3n9RIB6Yy36gN62f7vTmQ9VqXjewf2Le:vYp09W6KTG/IB6Yy36kNfmQ9VqXywf26,"606187.bin.TMP", Linux executable (ELF), 91087 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/m-6.8-k.SNOOPY", 3f3ee5ebd482daf58ff001b8cfd282d9, 47149612f3b4a56ebf1d4bfa0933de1111211054, 5982402d1ad7969acee656944253e3ca3fc5101902c2f77b8ccd8c235469b910, 3072:Bn7aKpF4LSV9OdAKoxkcennFEM/9OD4bxCkEFvmpwfvRQfZn:l7aKpF4eVZKo2cenneM/9uvmpwfvafZn,"606197.bin.TMP", Linux executable (ELF), 150385 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/m-i.p-s.SNOOPY", 91624b4fc007ac9d30d8209fc43896eb, 2a615fc65e317f31206108ef14782e6b0ec0c6dd, 0344af5bb8515a8ad3601da006b0f865df20e3559cce9b180e42d84b3738b6d7, 1536:27ju1Thpq+XvYC2rKy3eY5PGEEeRYYI88vECRIKmbaUmkiSFxfC7xbXe:RvYJPGEu/8F8IKmuUmkiSFxfKxbXe,"606190.bin.TMP", Linux executable (ELF), 113275 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/m-p.s-l.SNOOPY", 16a5b72ff8a12412a5caf1392ca62a10, cb37a0567b5667a435fad7e619087871b3c33fd0, f4abce3ee9f0f93f7758b953ec2082e958e9c992da5ff68f5ad894094b8e064c, 1536:ZLeTGkthhSMOCMQS+ZjN4pjuIxreg2ONt2eDo/LUmkiSFxfC7xbXe:Z5HC3S+dUreUtTDCLUmkiSFxfKxbXe,"606195.bin.TMP", Linux executable (ELF), 113275 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/p-p.c-.SNOOPY", b7e81b6c45a3cc0c71fcae61b68e5ef3, a5a6a757f6aba026d09d64478060126149bfff71, fcb5d2745df46ae16074eff438151137a48126d2aa8ecdbb8ca720bf213893ca, 1536:EIkg9VQPAWlMTEb82Mm3xDKMsF0rOLcvLNPzRxQMpy2SjmokCmCVrQAFW9OXkYe:dQBMTDWWFGLNPX5SmCmCVrQAFiOXkYe,"606186.bin.TMP", Linux executable (ELF), 97538 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/s-h.4-.SNOOPY", 0624eb4a66c42b0b4e0f41cb5e48eddb, c46db0582b51b1dcdf86ed3d047f802456d3d0a4, f36db7ddfaab91bff2ce1089469a81fb23c127d957f4c35b1edc121d844b0d9e, 1536:8wyVzh0fcKepZ4tyG1NaEVx7C33yzvVrmj9VqYLe8f26e:PIzSfDeYyGl7I3MVmj9VqYq8f26e,"606192.bin.TMP", Linux executable (ELF), 77753 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/x-3.2-.SNOOPY", 39ebe75fe971246667e4306485d4aeea, 80fff1556a38438ad093e98d70a771a944b6bf92, c83dade717adbc8df25193d66111ca77430b5eaa76cb9b2085d7ac7caf2819f6, 1536:0+xNVpyQWuKv8xKBnq5PeOj5zMLQamLI2VOCjXUfJRk:nNTI30xKBnq9eGTamU2VOCbUfJRk,"606191.bin.TMP", Linux executable (ELF), 74024 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/x-8.6-.SNOOPY", 390b3c80bd2d308e19c24d7537697213, b1f4cab26a33bffca31a0c1b0454945b6a3eef4a, 514874b535d27010eefedb2cd70d86cba9ab227f47ab97c5ee997d070fd65363, 1536:eB7cH1LhKlBqISVhuzdPQq0aJP9sWtjG7ew3nUuWgf6UmoIYuOVje+ZNne:eRMhKlcduzdPv0o+QK7eknUunVmrYuO6,"606194.bin.TMP", Linux executable (ELF), 85803 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmyarmv4", a52244a74bc1c643ff26d32987817133, ccb53dd0e92f0aff563fc6f4096ee2cc82cdfd19, d67302c13090994949e40882add70d89d7c6142be09476c844709d1157b77223, 3072:bXRLocIK6TIsvqVDhTKeLaSp2fsIt/b6QaiBHvNXw3CQSUfWvQmJf:LR4eLayis6/b6QtHlXw3CQSUOvQmJf,"606107.bin.TMP", Linux executable (ELF), 132786 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmyarmv5", 794796b6d4e1d9962e00e6ca30c363fd, 8097a9ffcf225acd99f86762c167fc6454c1853a, e383fe599d74eba802e570fd7ac919df90a5ffbebfb80b735958613611c5d508, 3072:0XGAocIK6TIsvqBDNTSePGask0Lj8tnz/5bWrVd2KY5XxqtQ6WQGoQoXf:4GvePGHRLjOnz/5bWrZWXxqtQ6WjoQoP,"606105.bin.TMP", Linux executable (ELF), 125240 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmyarmv6", fe8cc383358571a3bfddb673db8b483b, 578fa4acf57f9c3020bcb6fbd605f1b1c6abf4b7, f0ebd117dbd998ec5703ae0301862fb1f423045711cc2c92326cb6dda128ebd0, 3072:NZjF2/t59CXzhCzoRk8/ohEl8a9aAQpG3hPPl/JFHqkbIddjmyaQ0LKXctU:4oRk8/ohEeaQARRN/LHqnmyaQ0L8ctU,"606115.bin.TMP", Linux executable (ELF), 147287 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmyi586", 7ea818e6d9a4cb736111b9a758ec8843, 5e82ef0bf5d3d9781ab1571204129ea6bb971330, 39d813060e25e0f656e66b872220c791c15085aa18faced311c9f1682772d61e, 3072:Yy4r1tRCtnYBlStFw2t9T6gltxsKcX6GcgbqB:uUtwUrtpNtxsKcXJcgbqB,"606119.bin.TMP", Linux executable (ELF), 104168 bytes, -, -
