# Generated 2020-09-16 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.mips", fb0a061291dbc9153e3a78eb78816caa, beaa108565b71520a1e1b79d0f5fc6fc60cae11f, 18af9bd1ef84e19e5e31fa792140de8abeff1f3211692811b2f41ac3e21fa0e3, 768:jO4ExAkGVtmgVgd86rhNe9KftcjvFf6TEBhdFqxm2b5c8JgGlzDpbuR1J4DOh:jONAhVYVXNe95jFfkk4c2JVJu1h,"527423.bin.TMP", Linux executable (ELF), 44704 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.mpsl", 7a7732b9a140f648522d8f1271b5fab5, 38a45a6901c4847b87d08e28b7776417e0fa7cfa, 34e7645106da1191fd8661a161fa983e9c3ae567ae67cbdc3376489ccc9539cc, 768:S9scipt2ZKvf0KPUj5oCOeSzEVqsGXF5gThX+hFdnxJJ1Wxt+YDIoLcIZ62CLnM:w/ofvUjKfeWTsGbQX+BnxfitvlLcoCQ,"527428.bin.TMP", Linux executable (ELF), 45184 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.ppc", 2aa32167b64370898995d281a13f5e02, 3b6e69eeecb32246a9e539cce2ddbb7b7877c86c, 43d12b04d40f77065b27754a13d00fd5bcbe7152a9b6f7b7824e47b24281a2b6, 768:KqUeVGKw74JvihxHGkA0tnOLtsoZgL/Fq4uVcqgw09d2Ayc6oh4Ll5V9F:KqyKw748htGkFO+oZmFq4u+qgw09dRUx,"527330.bin.TMP", Linux executable (ELF), 40648 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.sh4", d37d6e48dda4961ac723f40151b86941, ca36f9156db72639770a16c5f44fadad4e2e957e, ee55357c525091fe1954580dd96c2fad8dcc0ee228852861bc269c786fbf58e7, 3072:btTQn622oNI8zpUt5hLwtOCwLkY0Px9gQNfR:btc6Vs/Ut5hLwtOLLkY0Px9gQNfR,"527427.bin.TMP", Linux executable (ELF), 108415 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.sparc", bfc9cc8f4f358b746cce6b245b073e00, c6371092268848497eeb81bcdaa5a4aeeb3824ea, 87fca51fbde812e6c1b899e9cdd28dff9f686b2f863751294714d6f102973724, 3072:/YNa/GLBNPoQ4phakpiQ9/nYEP/UnSQf/R:6a/ylo/phakp39/nYEP/UnSQf/R,"527332.bin.TMP", Linux executable (ELF), 126929 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.x86", 3cc91a285c904252ab7e03fabed495d1, 2b7f71c51b4cb20c12ec164dec206587a70b7b6c, 307ce52e1281e3e660a125e51878c18a4262dd21f8c94679299d8fbf988b77ba, 768:vMP37610uzeqaG9eilqdxNPUtzEHX7u1MVOuKvvLUbsLxjBjJTx07QXYJVR8j:vM2hzsG9e3xhUt21g8bsLxtJI6SVij,"527395.bin.TMP", Linux executable (ELF), 43872 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/armv5l", d2c629c0656bfeb3304076bb491180d7, 9caf9d87659bcd8638fa48fdd7bbb133b15b19a5, 7ab1a7c4046ec0ff4e087fe0093e55695802a9bf4659277c1bb60a7c26c9ceb1, 3072:4jDy/+mh1vtbPIKaqbpcUPium7/L7QsvmGfIiNb:mOJ1vxfaqbywm7/L7QsvmGfIiNb,"531746.bin.TMP", Linux executable (ELF), 125008 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/armv6l", 80e5a63764fdc28854d418cdb62fa7d2, 3867471bd820123cdd852666ff45a8564a2e7e70, 35e935b9740b7b2e63409330b35a7c99b31555b5348dc036b5fbd7d5d93568fa, 3072:Cv/WwsLgaq353qHiCOvhOpAqkDQHbeskmhxQwoVSUNu:KPLaq351hOpAqkLskmhxQwoVSUNu,"531747.bin.TMP", Linux executable (ELF), 143019 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/i586", 30ff0d658b7c10a49eb2ceb686eddad4, c888668aa239bd8661b70e17d05f1f5e8940e6ad, fb358f75eeb02ab530e3ad554dfbf84b288cadf3b0dc8c2752b2b98888057911, 3072:VK1z13U6HzHoXRtmTUhQogOEmmFVcqq0GnDZT:VK7DDeKlogOEmmFVcqq0GnDZT,"531686.bin.TMP", Linux executable (ELF), 100042 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/i686", 5779f2f69f1a2a73dd1f2f6aace650bf, 355bc543565c48a1e0eb0db01abd6b892d767c3b, f27241a810e2c4304306d311e4c1a80d71b6b844b33ff96645b5c02ad641dd42, 3072:wW8FUmgujld6Mkxm6AJ+4faHmmFVcqq0GnDZT:wJFv4Lm6AJ+4faHmmFVcqq0GnDZT,"531664.bin.TMP", Linux executable (ELF), 104138 bytes, -, -
