# Generated 2020-05-06 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-05-06, " 2020-05-05 Dridex", "http://genlew.com/grom.exe", c9b352426e3e7a29c5d1c3cf71b44808, 65035768bebc552eb6612fd63cc73ba6cc3bf92c, 17c66a318f48ef5531387fcae08b532e68e7553a8068ae2e37054d5da704645b, 6144:xYeRzgljWTqT7AGmqzSNU01ke9b67evmk:xYk8YI4wuU0C6t,"358707.bin.TMP", Windows executable (MZ), 245760 bytes, rh:0a269adb018c811ac9bca95c994d41f0, mh:61bbafad44409a20f8cc8217928e6473
2020-05-06, "DDoS Bot elf mirai", "http://ip180.ip-164-132-92.eu/mips", b71e4344b7b91cd54ecb562315e1a42b, ff23736ffc39e764bf9b2abe4e4e5ae7bce270c9, a497186099927efdba78e7baeda01120648c25602edc9bbda2a0f2c142cf8f0f, 384:/J9hg0RdPmILSaWyKEzucqzWCZENL8GdUnMwBedZvcXp15TMOCFyeCODI1pAdd5:/P6AdqaWy6jzXuDmZGCxM+dEv,"358956.bin.TMP", Linux executable (ELF), 40278 bytes, -, -
2020-05-06, "DDoS Bot elf mirai", "http://ip180.ip-164-132-92.eu/mpsl", ac221aa1bfaaf3c881222f8b0022becc, ebe81a02e23ff2bf0721adb6c3eaed22a0255f0c, 6c83a1b36037f3fdc4194c75affd0584969bd91fbfc25d469c5b44854f89e11f, 384:0GpIeI6Xe5u10zj8Z1m319BQ1ZXi0h/FeJiHRoMKwAIZGmh1nI8OzW85MzZ9SO1W:PQ6Xe5u1YlfQfXiO/FewxYwAIs7Z2dEv,"358957.bin.TMP", Linux executable (ELF), 40358 bytes, -, -
2020-05-06, "DDoS Bot elf mirai", "http://ip180.ip-164-132-92.eu/x86", 024103219585ff024b9755812008593f, 39325048c540fb6c84dcd024d3d2a7630857106e, 77b8c4c509cbd6a81ba44d6724bfaf35fa70a2862dec522a931e6e32ed8bcc17, 384:Sj376jArDcVLQ+2SKHm4Rr08FBaXGLUJjPkyyWGgMuZ6vnhlOPF4B9HakClXDIJE:SyjpBQXGUhQJjcyyYLsnhlONO9HaoOJ,"358955.bin.TMP", Linux executable (ELF), 35059 bytes, -, -
2020-05-06, "DDoS Bot elf mirai", "http://magic-living.com/x86", 1c88a30acd1966119af0dfe6477d9178, f7723556c600b0be9b8530a4aff0b400f3dd1b20, 3ba3d885c8307770da5601c4eca6834401b534deb4f16f0e0f0d4bdb9e1df29f, 3072:kiry859a2ADJf9wHYqbgFFo8+HeAs+TRCm7FnVqfJXFWbNb:T9a2aLqkrMDsm7FnVqfJXFWbNb,"358485.bin.TMP", Linux executable (ELF), 116503 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/armv4l", 6f73948de6d9ec0ab90dcff684f1bdd4, 8d780742906fb9bc514b57f0ed407d50e36bf461, 5944f2e709081b6099cb6d1daa2843c84935c7e7373be786c3667090251792ae, 3072:6jVlyaL5JCrIpv04s4bttiEiTmP46aQyfPlfKsNb:yoCJCN4s4bHemP46aQyfPlfKsNb,"358972.bin.TMP", Linux executable (ELF), 129898 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/armv5l", 82790ecb3a4fc228785305c244bf4892, c00f2ac983589e1302f9ce77f16b23bad5c2ef61, b7c7018f34e657d1dc41dd7eae97cdfe61e0780db9be0a617335358feea1a212, 3072:4jDy/+mh1vtbPIKaObpcUPium7/L7QsvmGfIiNb:mOJ1vxfaObywm7/L7QsvmGfIiNb,"358973.bin.TMP", Linux executable (ELF), 125008 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/armv6l", 9412472e1d4ff588e54a957cf2df1a28, 76408219dc4453d7e55f8c1dd65fb84e7797c9af, 650be560a27e2a2b2bb575b58ef92eb77e714cd42d4049b60fb1d84b8b65bfa4, 3072:Cv/WwsLgaq353qHiCOvhOpgqkDQHbeskmhxQwoVSUNu:KPLaq351hOpgqkLskmhxQwoVSUNu,"358974.bin.TMP", Linux executable (ELF), 143019 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/i586", c23629fb949e05aa8aeb0070e8c2d3c4, 6cc3cd5f122bc0b902fe4a8f448d23b0e72bcf85, ca9f1bd88e78cb7d1dfca359b84adffd04e463b01515b55a91ad74ee3ad63414, 3072:VK1z13U6HzHoXRtmTUhQogGEmmFVcqq0GnDZT:VK7DDeKlogGEmmFVcqq0GnDZT,"358975.bin.TMP", Linux executable (ELF), 100042 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/i686", 36c8b92b873b0481b2f570226dce8fee, 962e025919c813edc2bbca38b989cab80a3ce584, 2ad96b9b0b8c31485d8ad02d14f3f6444cfcd022acc4aed681683af274fc23a0, 3072:wW8FUmgujld6Mkxm6AJ+4fCHmmFVcqq0GnDZT:wJFv4Lm6AJ+4fCHmmFVcqq0GnDZT,"358976.bin.TMP", Linux executable (ELF), 104138 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/m68k", b11c1e7ae7d16ecd85abc8f3d04d1f5a, 6ad36f51f40f98a9ca44bfb8d416aaf8a9cc1281, 5aa796a2854781d30495b532faad5787932fba8f6ef619242b191603a3e2b9c4, 3072:Ydg8GXIDvGIk1MG8+mjypvZjoamm/QcuLB1niDNb:YuFX0GIk1MHyph8amm/QcuLB1niDNb,"358977.bin.TMP", Linux executable (ELF), 118090 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/mips", 107196f6ce25ad4d89f1cf8fbf9bbe79, 85ac3315188c52c930c44a98f71849173bd0a078, 87653dcdf47867e6cc0962a0d321a154f87004600a6140bba68d57c6db615f1e, 3072:JW6dm9tS1aRGQdK76t/zCfI5mrThPaLEnvPrNb:c6IG+LCAmrThPaLEnvPrNb,"358978.bin.TMP", Linux executable (ELF), 155428 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/mipsel", 03682122b7749f4b07b530bca0f6499a, 4bce296839edf540f12b3a7fa3000ab3d95be8a4, 0302b365504f20000e8843b2215c7840cb16af85f7cb79923bcf8c211d40f9a3, 3072:dgZc9h1jlnLA2PiXYeyCc2VNMVGuo9mrThPaLEnvPrNb:dd7lnLA2PiIeyZ2VWDo9mrThPaLEnvP5,"358979.bin.TMP", Linux executable (ELF), 155476 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/powerpc", 75fc63aea9535801a264ee85b202327a, 112657d13226758c4b0b2c36ecf8c86368830c4b, 5ad24dff01a131575f2ff62774da1afdf1eae9b224857615f3740af1ba290b86, 3072:pC/4rdZHsXsZwwR9YNk5mm/QcuLmHniPNb:pCwrvHwsZwY9YOmm/QcuLmHniPNb,"358980.bin.TMP", Linux executable (ELF), 116786 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/sh4", a0ccd368ea1fe2f7e2bb2dcba62b1ae1, f35bc6a967d5cc2e7beada0dde2651ce1b9b3f12, 46e932a477768d937e1ec2c0b49fa5bee9f6153ede4b998e6b221fa515637126, 3072:MDVLSItJP+Xsp4JlN3HwjmH1cuEgvniuN/:MDV+ItJH2l3HwjmH1cuEgvniuN/,"358982.bin.TMP", Linux executable (ELF), 112633 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/sparc", cd1b5ea071733b6fa086caff2bc0308b, fa3e302255aed09b08d89df5fc17585a79e76433, 05ca0a7b6734bf0aecf58bd0a2e410600c4b83c796d15250979dc6dec461c0dc, 3072:wsrp9xV+GZTZepNPhj+e3fSqPHL7ymm/QMurB1nKGNb:SMQplVHamm/QMurB1nKGNb,"358981.bin.TMP", Linux executable (ELF), 129856 bytes, -, -
2020-05-06, "elf gafgyt", "http://103.212.225.238/x86", c14c0a1b5dc3970edd43d763c6e3602c, 2c366a8da7069ea7ae9e1817f2ffe6ac76e0790a, 2250dacf21200a010691d7c6a666040ad37ae32623a241c97d174ab1fa5d2bc6, 3072:kiry859a2ADJf9wHYqbgFFo8+HeAa+TRCm7FnVqfJXFWbNb:T9a2aLqkrMVsm7FnVqfJXFWbNb,"358983.bin.TMP", Linux executable (ELF), 116503 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.arm", eb1f4b436ee9d6d594311549d70a5936, 34daa612b9ade5523eb6ee1d069e3022fb16c4cd, 7450bd96c807dea55c804f4676777c88076838f94048f4cde09d284aad9ba1a4, 1536:GbtexU5L9XouIRhb96pUQzXtwavaJ3V8OHxouJeZWDFI8EM:GbtexU0r8QCKw2Fbt,"358507.bin.TMP", Linux executable (ELF), 71864 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.arm5", ea5243695052763fd9022862aea9ba90, a190812cf8f6be55603bc9835ab1077cc4c192ae, 9d87959cbe8cc7324ac0ba4995092eca9883ed3dc03c49135e460ceee391d47b, 1536:dOxGfyRWiPLacGXWzM9l6yTzpl84ETjpk19y20Yvck6YceZWGzDkMH:dOxkyRWiPkjX0QckVcwLpH,"358510.bin.TMP", Linux executable (ELF), 62680 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.arm6", 1386b8daf5841db8cf5964ee95166709, f650acad5798f9d27a3089ffd03ffda6f4879af4, 0a67bea6beacaf21b9ddef15095f6913c6a71ad355cba7cd90d6ee29e1bf7625, 1536:29n7/xkRBFg3yFhk20WtEu+1F4YPjaduBcPYO9mrsplDKZUlQBKXAVan1X+F8Jyk:gJTyHknWt/+L4qjmugd9mrsplDKZUlQK,"358553.bin.TMP", Linux executable (ELF), 83072 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.arm7", c929a3339f684021a7c03352fa3e6af9, 9bfa61e563cecb9170d6124c9d9e86f67d26ec73, 126a38b58fd230cbc78d4eaa09cf055b098c8d52d5fcf9425d47cceb3fb29705, 3072:walgM69pe0QmlTvIUdt9mrsplDKZUQQBKXAVanXX+F8JyvSPhLZ85iBMR6yoC1Q3:walgM69pe0QmlTvI8t9mrsplDKZUQQBq,"358505.bin.TMP", Linux executable (ELF), 145189 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.m68k", d8abee0e145a72347aca0852b8dbbe6e, 84ce4344180612bb507cb44662f44d0af4f801a7, 6b0b973fa21fb0404269b571940521d58665e5c0b6461d0fc3861f67cf5ac15c, 768:mYuzcClmYrJfIGh6HHaihHHeIXXdauZj0CGeWx3ytvptM7edUo+f1prazDQePbL:mYqcCRrdIC6HHaiFu/eM7edJg1pmzB,"358508.bin.TMP", Linux executable (ELF), 54336 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.mips", 82d3dd8adb1a624162f270e991d01e19, 03636fc8c5f262136ee6a8876cfe0800c6637a70, 66f8deb31d50f3d24f7989eb7f16b9f542478e738b67ae3b706ba26665322aaf, 1536:1YRdsnDd6C6gb/ZVyDYjMbwqZ9f0vfwW9ufY1C+KBtyRirfXDOiOH3J:CHsnD8/gb/zyDv9f0HD9FC+KBtyR6/DQ,"358554.bin.TMP", Linux executable (ELF), 89332 bytes, -, -
